Date,Gold,Silver,Oil,USD
1999-11-01,291.35,5.19,21.32,99.31
1999-11-02,290.75,5.18,21.98,99.18
1999-11-03,291.0,5.19,22.38,99.55
1999-11-04,290.6,5.19,22.64,100.43
1999-11-05,289.7,5.19,22.8,100.28
1999-11-08,288.25,5.03,23.62,100.35
1999-11-09,290.75,5.04,24.44,100.27
1999-11-10,295.75,5.09,25.42,99.79
1999-11-11,296.0,5.11,24.96,100.14
1999-11-12,291.25,5.07,25.39,100.75
1999-11-13,291.25,5.05,25.39,100.75
1999-11-15,290.9,5.04,25.93,100.69
1999-11-16,294.25,5.08,24.88,100.79
1999-11-17,293.65,5.14,24.98,100.2
1999-11-18,293.6,5.09,25.02,101.0
1999-11-19,293.75,5.11,25.14,100.89
1999-11-21,293.75,5.1,25.14,100.89
1999-11-22,294.9,5.11,25.86,100.66
1999-11-23,297.25,5.17,25.66,100.83
1999-11-24,297.5,5.24,25.77,101.72
1999-11-25,298.4,5.2,25.94,101.53
1999-11-26,296.85,5.19,25.85,101.36
1999-11-27,296.85,5.18,25.85,101.36
1999-11-29,292.25,5.19,25.67,101.86
1999-11-30,291.35,5.15,25.2,101.99
1999-12-01,289.15,5.17,24.2,102.09
1999-12-02,286.0,5.15,25.52,102.52
1999-12-03,282.75,5.07,26.17,102.51
1999-12-04,282.75,5.09,26.17,102.51
1999-12-06,276.1,5.07,26.46,101.13
1999-12-07,279.25,5.1,26.1,100.82
1999-12-08,280.95,5.13,25.45,100.71
1999-12-09,279.0,5.09,25.85,101.02
1999-12-10,280.65,5.09,24.86,101.66
1999-12-11,280.65,5.11,24.86,101.66
1999-12-13,279.5,5.1,24.31,101.67
1999-12-14,279.25,5.1,24.88,102.35
1999-12-15,280.05,5.16,25.68,102.4
1999-12-16,280.3,5.17,26.09,101.6
1999-12-17,284.15,5.19,26.22,102.18
1999-12-18,284.15,5.2,26.22,102.18
1999-12-19,284.15,5.16,26.22,102.18
1999-12-20,284.25,5.19,25.98,101.85
1999-12-21,282.75,5.18,25.51,101.93
1999-12-22,285.75,5.15,25.04,101.87
1999-12-23,287.3,5.2,25.11,101.44
1999-12-24,287.3,5.18,25.11,101.58
1999-12-27,287.3,5.19,25.11,101.49
1999-12-28,287.3,5.2,25.11,101.94
1999-12-29,290.9,5.19,25.63,101.98
1999-12-30,290.25,5.32,24.93,101.82
1999-12-31,290.25,5.39,24.93,101.87
2000-01-02,290.25,5.38,24.93,101.87
2000-01-03,290.25,5.38,24.93,100.22
2000-01-04,281.5,5.33,23.95,100.41
2000-01-05,280.45,5.29,23.72,100.38
2000-01-06,279.4,5.13,23.55,100.65
2000-01-07,282.1,5.11,23.35,100.8
2000-01-08,282.1,5.14,23.35,100.8
2000-01-10,281.6,5.12,22.77,100.99
2000-01-11,282.25,5.13,23.93,100.56
2000-01-12,282.25,5.13,24.62,100.62
2000-01-13,282.1,5.08,24.9,101.0
2000-01-14,283.3,5.09,25.5,101.72
2000-01-15,283.3,5.1,25.5,101.72
2000-01-17,285.35,5.12,25.99,102.05
2000-01-18,285.8,5.11,26.31,101.86
2000-01-19,287.65,5.1,26.17,101.76
2000-01-20,288.1,5.11,26.26,101.36
2000-01-21,287.75,5.17,27.18,101.76
2000-01-22,287.75,5.19,27.18,101.76
2000-01-24,287.2,5.18,27.02,102.2
2000-01-25,288.0,5.23,27.24,102.41
2000-01-26,285.9,5.23,27.18,102.44
2000-01-27,285.55,5.19,26.91,103.17
2000-01-28,286.75,5.36,26.59,104.48
2000-01-29,286.75,5.31,26.59,104.48
2000-01-31,283.3,5.24,27.08,105.13
2000-02-01,283.0,5.23,27.35,104.92
2000-02-02,285.6,5.18,27.15,104.79
2000-02-03,285.05,5.17,27.6,103.8
2000-02-04,293.65,5.23,27.48,104.29
2000-02-05,293.65,5.49,27.48,104.29
2000-02-07,312.7,5.47,27.94,104.64
2000-02-08,296.25,5.24,27.61,104.22
2000-02-09,308.6,5.28,27.44,103.68
2000-02-10,309.0,5.36,27.32,104.13
2000-02-11,311.5,5.34,27.82,104.19
2000-02-12,311.5,5.26,27.82,104.19
2000-02-14,308.35,5.23,28.03,104.72
2000-02-15,304.25,5.2,28.12,104.69
2000-02-16,302.5,5.21,28.11,104.28
2000-02-17,304.75,5.24,27.54,104.27
2000-02-18,303.55,5.21,27.26,104.63
2000-02-19,303.55,5.22,27.26,104.63
2000-02-21,305.25,5.22,26.93,104.58
2000-02-22,302.25,5.22,27.22,103.28
2000-02-23,302.0,5.24,27.92,103.53
2000-02-24,298.75,5.19,28.21,104.01
2000-02-25,294.0,5.13,28.53,105.26
2000-02-26,294.0,5.03,28.53,105.26
2000-02-28,292.5,5.04,28.7,105.27
2000-02-29,293.65,5.03,29.01,105.92
2000-03-01,292.9,5.05,29.78,104.89
2000-03-02,289.9,5.06,30.12,105.65
2000-03-03,288.5,5.01,29.83,106.0
2000-03-04,288.5,5.09,29.83,106.0
2000-03-05,288.5,5.09,29.83,106.0
2000-03-06,288.8,5.09,30.08,106.16
2000-03-07,289.75,5.05,31.93,106.09
2000-03-08,291.2,5.06,31.41,105.93
2000-03-09,290.5,5.06,29.11,105.37
2000-03-10,290.25,5.09,28.97,105.71
2000-03-11,290.25,5.04,28.97,105.71
2000-03-13,290.65,5.07,29.25,105.5
2000-03-14,288.75,5.07,28.83,105.3
2000-03-15,289.15,5.07,28.03,105.38
2000-03-16,287.35,5.1,27.97,105.18
2000-03-17,283.9,5.07,27.87,105.2
2000-03-18,283.9,5.08,27.87,105.2
2000-03-20,285.75,5.07,25.59,105.15
2000-03-21,285.15,5.02,24.93,105.81
2000-03-22,287.8,5.09,25.77,106.04
2000-03-23,284.75,5.1,25.32,105.23
2000-03-24,284.85,5.07,25.74,104.77
2000-03-25,284.85,5.08,25.74,104.77
2000-03-27,284.15,5.08,25.16,105.45
2000-03-28,280.65,5.05,24.8,105.53
2000-03-29,279.75,5.04,23.77,106.25
2000-03-30,275.75,4.93,23.94,105.47
2000-03-31,276.75,4.93,23.98,105.44
2000-04-01,276.75,4.99,23.98,105.44
2000-04-03,277.5,4.99,24.62,105.54
2000-04-04,276.85,5.0,23.26,105.17
2000-04-05,281.3,5.1,22.98,105.29
2000-04-06,279.35,5.07,22.9,105.52
2000-04-07,280.15,5.08,22.63,105.97
2000-04-08,280.15,5.07,22.63,105.97
2000-04-10,282.25,5.07,21.08,105.68
2000-04-11,282.5,5.11,21.05,105.94
2000-04-12,280.4,5.09,21.4,105.96
2000-04-13,281.4,5.09,22.65,106.14
2000-04-14,282.0,5.11,22.13,105.75
2000-04-15,282.0,5.12,22.13,105.75
2000-04-17,281.75,5.12,22.2,106.13
2000-04-18,281.1,5.06,22.67,106.63
2000-04-19,281.35,5.08,23.5,107.13
2000-04-20,279.85,5.08,23.57,107.45
2000-04-21,279.85,5.08,23.57,107.45
2000-04-23,279.85,4.95,23.57,107.45
2000-04-24,279.85,4.95,23.57,107.28
2000-04-25,279.5,4.95,23.36,108.69
2000-04-26,276.2,4.97,22.9,108.55
2000-04-27,276.0,4.93,23.07,109.57
2000-04-28,275.05,4.94,23.79,110.14
2000-04-29,275.05,4.95,23.79,110.14
2000-05-01,275.05,4.93,23.79,109.63
2000-05-02,275.45,5.0,24.73,110.26
2000-05-03,275.6,5.0,25.13,111.26
2000-05-04,280.0,5.0,25.06,111.8
2000-05-05,280.75,5.09,24.93,111.31
2000-05-06,280.75,5.08,24.93,111.31
2000-05-08,277.9,4.98,26.03,111.45
2000-05-09,276.3,4.98,26.69,110.75
2000-05-10,277.6,5.0,26.59,110.8
2000-05-11,276.75,4.99,27.22,111.52
2000-05-12,276.65,4.98,27.98,109.9
2000-05-13,276.65,4.98,27.98,109.9
2000-05-15,275.05,4.98,28.26,110.56
2000-05-16,276.0,4.98,28.78,111.31
2000-05-17,273.1,5.06,28.4,112.1
2000-05-18,272.8,4.97,28.9,112.21
2000-05-19,273.15,4.98,29.01,111.47
2000-05-22,274.0,4.96,28.45,111.06
2000-05-23,274.05,4.97,28.12,111.14
2000-05-24,273.7,4.97,28.97,111.22
2000-05-25,273.35,4.95,29.62,110.75
2000-05-26,271.3,4.89,30.09,109.12
2000-05-27,271.3,4.9,30.09,109.12
2000-05-29,271.3,4.9,30.09,109.12
2000-05-30,273.15,4.91,29.89,108.93
2000-05-31,272.25,4.89,29.64,108.74
2000-06-01,272.5,4.9,29.69,109.05
2000-06-02,281.6,4.9,29.35,108.12
2000-06-03,281.6,4.97,29.35,108.12
2000-06-05,283.25,4.98,28.27,107.46
2000-06-06,288.4,5.01,28.42,106.59
2000-06-07,284.1,5.03,28.32,106.18
2000-06-08,285.75,5.04,29.34,106.71
2000-06-09,284.4,5.03,29.0,106.99
2000-06-10,284.4,5.03,29.0,106.99
2000-06-12,284.6,5.01,30.1,106.97
2000-06-13,291.5,5.02,30.4,106.4
2000-06-14,287.15,4.98,30.12,106.46
2000-06-15,287.4,5.04,29.77,106.88
2000-06-16,290.1,5.04,28.68,105.96
2000-06-17,290.1,5.04,28.68,105.96
2000-06-19,285.9,5.03,27.69,106.33
2000-06-20,286.2,4.99,28.86,106.33
2000-06-21,286.05,4.99,30.71,107.43
2000-06-22,287.65,4.93,30.61,107.71
2000-06-23,285.8,4.93,31.02,108.01
2000-06-24,285.8,4.93,31.02,108.01
2000-06-26,284.05,4.91,30.9,108.11
2000-06-27,283.8,4.95,30.47,107.36
2000-06-28,288.0,4.93,31.15,107.6
2000-06-29,289.75,4.95,31.05,106.84
2000-06-30,288.15,4.98,31.58,106.84
2000-07-01,288.15,5.01,31.58,106.84
2000-07-03,287.65,4.99,32.15,107.06
2000-07-04,286.5,4.98,30.73,107.29
