timestamp,gas_path,temperature,exhaust_temp,oil_temp,intake_temp,engcool_temp,Latitude,Longitude,speed_kmh,acc_mps2,vsp,opmode,enginerpm,fuelrate,engine_torq,engine_power,lambda,pems_co2,pems_co,pems_no2,pems_no,pems_pn
12:12:55,"SAMPLE",21.4,45.1,,30.0,67.0,43.661938,-79.396362,0.0,0.472222222222,0.0,1,738,0.000121,51,3.98,0.95,1.094,0.00169,0.00000,0.00000,3728750.400723493192
12:12:56,"SAMPLE",21.3,45.1,,30.0,67.0,43.660370,-79.396690,1.7,-0.472222222222,-0.17,11,725,0.000124,51,3.91,0.95,1.127,0.00162,0.00000,0.00000,3702322.629946076777
12:12:57,"SAMPLE",21.4,44.9,,30.0,67.0,43.660458,-79.396744,0.0,0.0,0.0,1,700,0.000128,51,3.77,0.94,1.158,0.00156,0.00000,0.00000,3802982.280115839560
12:12:58,"SAMPLE",21.3,44.7,,30.0,67.0,43.660458,-79.396744,0.0,0.0,0.0,1,688,0.000134,54,3.90,0.95,1.213,0.00174,0.00000,0.00000,2351376.615507223178
12:12:59,"SAMPLE",21.4,45.2,,30.0,67.0,43.660488,-79.396767,0.0,0.0,0.0,1,688,0.000135,56,4.06,0.95,1.226,0.00201,0.00000,0.00000,1483018.334108679788
12:13:00,"SAMPLE",21.3,45.1,,30.0,67.0,43.660515,-79.396782,0.0,0.0,0.0,1,688,0.000130,57,4.10,0.95,1.179,0.00203,0.00000,0.00000,643544.877583701978
12:13:01,"SAMPLE",21.3,45.0,,30.0,67.0,43.660542,-79.396805,0.0,0.0,0.0,1,675,0.000135,57,4.02,0.95,1.227,0.00220,0.00000,0.00000,1402914.927321526222
12:13:02,"SAMPLE",21.2,45.6,,30.0,68.0,43.660564,-79.396820,0.0,0.0,0.0,1,675,0.000128,57,4.02,0.95,1.163,0.00207,0.00000,0.00000,2801822.436739667784
12:13:03,"SAMPLE",21.3,46.4,,30.0,68.0,43.660580,-79.396828,0.0,0.0,0.0,1,690,0.000137,54,3.91,0.95,1.242,0.00218,0.00000,0.00000,4651118.886351786554
12:13:04,"SAMPLE",21.2,46.5,,30.0,68.0,43.660583,-79.396828,0.0,0.777777777778,0.0,1,700,0.000137,54,3.97,0.95,1.246,0.00213,0.00000,0.00000,5836864.504297012463
12:13:05,"SAMPLE",21.3,45.6,,30.0,68.0,43.660599,-79.396858,2.8,0.25,6.38,14,813,0.000116,49,4.15,0.95,1.052,0.00170,0.00000,0.00000,5617042.432042656466
12:13:06,"SAMPLE",21.2,45.9,,30.0,68.0,43.660599,-79.396858,3.7,-0.111111111111,9.56,15,798,0.000113,43,3.62,0.95,1.025,0.00157,0.00000,0.00000,4875641.806327298284
12:13:07,"SAMPLE",21.2,46.4,,30.0,68.0,43.660599,-79.396881,3.3,0.222222222222,8.38,14,744,0.000115,43,3.38,0.95,1.042,0.00146,0.00000,0.00000,4208598.085993332788
12:13:08,"SAMPLE",21.1,47.2,,30.0,68.0,43.660599,-79.396881,4.1,0.305555555556,11.05,15,713,0.000154,44,3.27,0.95,1.397,0.00170,0.00000,0.00000,3011620.310520901810
12:13:09,"SAMPLE",21.2,47.6,,30.0,68.0,43.660580,-79.396896,5.2,0.611111111111,15.06,16,713,0.000219,53,3.94,0.95,1.984,0.00211,0.00000,0.00000,2884400.402639319189
12:13:10,"SAMPLE",21.1,48.3,,30.0,68.0,43.660610,-79.396942,7.4,0.472222222222,19.09,16,900,0.000194,68,6.39,0.95,1.764,0.00168,0.00000,0.00000,566353.429343240918
12:13:11,"SAMPLE",21.2,48.5,,30.0,68.0,43.660599,-79.396957,9.1,0.305555555556,22.11,16,1150,0.000301,29,3.53,0.95,2.735,0.00213,0.00000,0.00000,0.000000000000
12:13:12,"SAMPLE",21.1,49.8,,30.0,69.0,43.660564,-79.396973,10.2,0.972222222222,29.41,16,1175,0.000451,40,4.95,0.95,4.098,0.00255,0.00000,0.00000,0.000000000000
12:13:13,"SAMPLE",21.2,50.9,,30.0,69.0,43.660515,-79.396980,13.7,0.611111111111,26.59,16,1600,0.000423,89,14.83,0.95,3.844,0.00231,0.00000,0.00000,0.000000000000
12:13:14,"SAMPLE",21.1,51.5,,30.0,69.0,43.660465,-79.396980,15.9,0.722222222222,27.86,16,1788,0.000414,80,15.05,0.95,3.757,0.00206,0.00000,0.00000,3170466.877653462812
12:13:15,"SAMPLE",21.1,52.0,,30.0,69.0,43.660419,-79.396973,18.5,0.583333333333,15.42,16,1708,0.000427,75,13.49,0.95,3.875,0.00187,0.00000,0.00000,6019841.340716399252
12:13:16,"SAMPLE",21.2,52.4,,30.0,69.0,43.660362,-79.396957,20.6,1.02777777778,21.43,16,1692,0.000402,79,13.92,0.95,3.651,0.00167,0.00000,0.00000,11672155.894379654899
12:13:17,"SAMPLE",21.0,52.9,,29.8,69.0,43.660294,-79.396935,24.3,0.5,14.63,16,1704,0.000430,72,12.81,0.95,3.905,0.00174,0.00000,0.00000,12951508.556023498997
12:13:18,"SAMPLE",21.2,52.4,,29.0,69.0,43.660229,-79.396904,26.1,0.472222222222,17.57,16,1663,0.000284,79,13.68,0.94,2.576,0.00119,0.00000,0.00000,8832032.533945126459
12:13:19,"SAMPLE",21.0,52.1,,29.0,69.0,43.660164,-79.396881,27.8,-0.0555555555556,13.36,16,1725,0.000189,47,8.56,0.97,1.712,0.00128,0.00000,0.00000,3813214.905419520568
12:13:20,"SAMPLE",21.1,50.5,,29.0,69.0,43.660088,-79.396858,27.6,-0.833333333333,10.97,15,1638,0.000086,3,0.46,0.98,0.778,0.00085,0.00000,0.00000,7526040.610289676115
12:13:21,"SAMPLE",21.0,50.7,,29.0,69.0,43.660027,-79.396828,24.6,-0.611111111111,11.82,15,1438,0.000175,0,0.00,0.95,1.584,0.00256,0.00000,0.00000,177059690.035703539848
12:13:22,"SAMPLE",21.0,50.3,,29.0,69.0,43.659962,-79.396790,22.4,-0.305555555556,16.32,16,1288,0.000139,0,0.00,0.96,1.260,0.00315,0.00000,0.00000,1019925739.645224094391
12:13:23,"SAMPLE",21.0,50.5,,29.0,69.0,43.659904,-79.396767,21.3,-0.472222222222,10.02,15,1238,0.000126,9,1.11,1.00,1.143,0.00343,0.00000,0.00000,863527197.334999203682
12:13:24,"SAMPLE",21.0,50.6,,29.0,69.0,43.659855,-79.396744,19.6,-0.138888888889,11.62,15,1150,0.000158,11,1.31,1.02,1.431,0.00406,0.00000,0.00000,5106563586.565775871277
12:13:25,"SAMPLE",20.9,50.8,,29.0,69.0,43.659809,-79.396713,19.1,0.25,10.55,15,1173,0.000231,28,3.44,1.01,2.094,0.00478,0.00000,0.00000,14393005275.102798461914
12:13:26,"SAMPLE",20.9,51.2,,29.0,69.2,43.659752,-79.396690,20.0,0.416666666667,15.06,16,1288,0.000211,46,6.21,0.99,1.914,0.00327,0.00000,0.00000,21180264526.320419311523
12:13:27,"SAMPLE",20.8,51.0,,29.0,70.0,43.659702,-79.396675,21.5,0.305555555556,15.71,16,1363,0.000134,49,6.96,0.98,1.218,0.00152,0.00000,0.00000,14657478100.775741577148
12:13:28,"SAMPLE",20.9,51.4,,29.0,70.0,43.659637,-79.396652,22.6,-0.416666666667,7.3,14,1388,0.000128,14,1.97,0.97,1.158,0.00106,0.00000,0.00000,12134393295.691537857056
